train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
386.986083984375,0,4,,,,,,
,0,5,145063.59375,237.68524169921875,,,,
,0,5,,,715415.25,561.4573364257812,,
273.8438720703125,1,9,,,,,,
,1,11,131679.78125,236.43270874023438,,,,
,1,11,,,160950.921875,255.31129455566406,,
172.90914916992188,2,14,,,,,,
,2,17,134666.890625,236.62632751464844,,,,
,2,17,,,178127.140625,260.60455322265625,,
275.8006286621094,3,19,,,,,,
,3,23,123138.7734375,243.0551300048828,,,,
,3,23,,,166257.6875,257.443359375,,
225.44509887695312,4,24,,,,,,
307.94244384765625,4,29,,,,,,
,4,29,122530.0703125,245.79354858398438,,,,
,4,29,,,163028.0625,257.68463134765625,,
220.17567443847656,5,34,,,,,,
,5,35,165144.484375,297.5544128417969,,,,
,5,35,,,150444.046875,255.8125457763672,,
326.6078186035156,6,39,,,,,,
,6,41,126539.5,259.16668701171875,,,,
,6,41,,,169398.0625,284.8157043457031,,
223.18585205078125,7,44,,,,,,
,7,47,159280.59375,270.1218566894531,,,,
,7,47,,,144211.46875,254.54368591308594,,
255.69473266601562,8,49,,,,,,
,8,53,142677.765625,258.9345397949219,,,,
,8,53,,,140675.84375,247.3400421142578,,
233.92034912109375,9,54,,,,,,
291.3975524902344,9,59,,,,,,
,9,59,124864.3046875,257.6011047363281,,,,
,9,59,,,149062.59375,253.37559509277344,,
200.06741333007812,10,64,,,,,,
,10,65,137412.359375,254.965087890625,,,,
,10,65,,,122147.875,233.36814880371094,,
241.2627716064453,11,69,,,,,,
,11,71,151734.265625,265.90435791015625,,,,
,11,71,,,140882.75,240.9825897216797,,
233.3733367919922,12,74,,,,,,
,12,77,161223.484375,303.43487548828125,,,,
,12,77,,,155584.390625,262.3018798828125,,
304.5100402832031,13,79,,,,,,
,13,83,131061.03125,249.78839111328125,,,,
,13,83,,,173899.9375,272.5399475097656,,
260.7254333496094,14,84,,,,,,
364.27044677734375,14,89,,,,,,
,14,89,126509.703125,250.2177276611328,,,,
,14,89,,,140669.828125,255.00746154785156,,
228.9822998046875,15,94,,,,,,
,15,95,130326.7265625,249.27548217773438,,,,
,15,95,,,147641.890625,253.429931640625,,
275.79388427734375,16,99,,,,,,
,16,101,121073.546875,249.176513671875,,,,
,16,101,,,153676.671875,257.9370422363281,,
234.0935516357422,17,104,,,,,,
,17,107,130414.6796875,251.43641662597656,,,,
,17,107,,,136450.28125,246.5553741455078,,
186.2970428466797,18,109,,,,,,
,18,113,129382.15625,267.25732421875,,,,
,18,113,,,154907.140625,258.53179931640625,,
324.2638244628906,19,114,,,,,,
274.8932800292969,19,119,,,,,,
,19,119,146897.65625,286.56378173828125,,,,
,19,119,,,119403.3515625,241.43136596679688,,
188.0537567138672,20,124,,,,,,
,20,125,124054.1171875,247.76048278808594,,,,
,20,125,,,143236.890625,257.5712585449219,,
205.62887573242188,21,129,,,,,,
,21,131,138248.453125,256.2023620605469,,,,
,21,131,,,134268.84375,242.569091796875,,
216.28526306152344,22,134,,,,,,
,22,137,121848.4453125,256.43402099609375,,,,
,22,137,,,130172.4921875,240.00704956054688,,
199.2903594970703,23,139,,,,,,
,23,143,144425.265625,289.45355224609375,,,,
,23,143,,,141140.640625,241.2065887451172,,
258.863037109375,24,144,,,,,,
316.6322326660156,24,149,,,,,,
,24,149,117662.59375,249.48228454589844,,,,
,24,149,,,139438.28125,255.2156219482422,,
251.430419921875,25,154,,,,,,
,25,155,129531.3046875,247.48475646972656,,,,
,25,155,,,115766.421875,235.7288360595703,,
181.1637420654297,26,159,,,,,,
,26,161,122594.3046875,255.49559020996094,,,,
,26,161,,,116741.7734375,229.23239135742188,,
332.54754638671875,27,164,,,,,,
,27,167,120526.796875,239.74639892578125,,,,
,27,167,,,165156.5,279.32086181640625,,
216.40708923339844,28,169,,,,,,
,28,173,117155.1796875,240.08641052246094,,,,
,28,173,,,129157.2265625,236.53359985351562,,
263.6079406738281,29,174,,,,,,
207.19407653808594,29,179,,,,,,
,29,179,118071.2421875,237.91299438476562,,,,
,29,179,,,126243.8515625,233.0614013671875,,
277.3965148925781,30,184,,,,,,
,30,185,113508.8671875,242.1868133544922,,,,
,30,185,,,110427.703125,234.91973876953125,,
309.783203125,31,189,,,,,,
,31,191,115129.6484375,238.96990966796875,,,,
,31,191,,,157835.625,262.1488037109375,,
278.0100402832031,32,194,,,,,,
,32,197,126245.8671875,246.5437469482422,,,,
,32,197,,,130559.3828125,232.61756896972656,,
220.89572143554688,33,199,,,,,,
